,Fast,Medium,Slow,accuracy,macro avg,weighted avg
precision,0.9487179487179487,1.0,0.7254901960784313,0.9090909090909091,0.8914027149321266,0.9106519423261503
recall,0.940677966101695,1.0,0.7551020408163265,0.9090909090909091,0.8985933356393406,0.9090909090909091
f1-score,0.9446808510638298,1.0,0.74,0.9090909090909091,0.8948936170212766,0.9098065764023212
support,236.0,1.0,49.0,0.9090909090909091,286.0,286.0
