,Fast,Medium,Slow,accuracy,macro avg,weighted avg
precision,0.8697318007662835,0.0,0.64,0.8496503496503497,0.5032439335887612,0.8273311362966537
recall,0.961864406779661,0.0,0.32653061224489793,0.8496503496503497,0.4294650063415197,0.8496503496503497
f1-score,0.9134808853118712,0.0,0.43243243243243246,0.8496503496503497,0.44863777258143456,0.8278695039258419
support,236.0,1.0,49.0,0.8496503496503497,286.0,286.0
